Title,Country,Director,Studio,Animation technique,Release Year,Release month,Release day,is_holiday,Duration_Minutes,movie_category
"AAA - The Movie AAA, la película: Sin límite en el tiempo",Mexico,Alberto Rodriguez,Promociones Antonio Peña Ánima Estudios,Flash animation,2010,1,22,False,96.0,long
Alice in Wonderland (2010 film),United States,Tim Burton,Walt Disney Pictures Roth Films The Zanuck Company Team Todd,CGI/Live-Action,2010,3,5,False,108.0,long
Animals United Konferenz der Tiere,Germany,"Reinhard Klooss, Holger Tappe",Constantin Film,CG animation,2010,10,7,False,93.0,long
Anpanman: Blacknose and the Magical Song ja:それいけ!アンパンマン ブラックノーズと魔法の歌,Japan,Jun Kawagoe,"Anpanman Production Committee, TMS Entertainment",Traditional,2014,7,10,False,52.0,standart
Las aventuras de Don Quijote,Spain,Antonio Zurera,,Traditional / CG animation,2010,11,26,True,73.0,standart
Barbie: A Fashion Fairy Tale,United States,William Lau,Rainmaker Entertainment,CGI animation,2010,9,14,False,79.0,standart
Barbie in A Mermaid Tale,United States,Adam L. Wood,Rainmaker Entertainment,CGI animation,2010,3,9,False,75.0,standart
Batman: Under the Red Hood,United States,Brandon Vietti,Warner Bros. Animation,Traditional,2010,7,27,False,75.0,standart
Berry and Dolly - Friends hu:Bogyó és Babóca - 13 mese,Hungary,Antonin Krizanics Géza M. Tóth,Kedd Animation Studio,Traditional,2010,8,12,False,65.0,standart
Bleach: Hell Verse BLEACH 地獄篇 (Burīchi Jigoku-Hen),Japan,Noriyuki Abe,Studio Pierrot,Traditional,2010,12,4,True,94.0,long
Book Girl 劇場版文学少女 (Gekijōban Bungaku Shōjo),Japan,Shunsuke Tada,Production I.G,Traditional,2010,5,1,False,103.0,long
Bratz: Pampered Petz,United States,Bob Doucette,Mike Young Productions MGA Entertainment,CGI animation,2010,10,5,False,70.0,standart
A Cat in Paris Une vie de chat,France Switzerland Netherlands Belgium,"Alain Gagnol, Jean-Loup Felicioli",Folimage,Traditional,2010,12,15,True,65.0,standart
Cats & Dogs: The Revenge of Kitty Galore,United States Australia,Brad Peyton,Warner Bros. Pictures,CGI/Live-Action,2010,7,30,False,82.0,standart
Colorful カラフル,Japan,Keiichi Hara,Sunrise,Traditional,2010,8,21,False,127.0,long
Crayon Shin-chan: Super-Dimension! The Storm Called My Bride クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁 (Kureyon Shinchan: Chōjikū! Arashi o Yobu Ora no Hanayome),Japan,Akira Shigino,Shin-Ei Animation,Traditional,2010,4,17,False,100.0,long
Pet Pals: Marco Polo's Code Cuccioli Il Codice di Marco,Italy,Sergio Manfio,Gruppo Alcuni Srl,CG animation,2010,1,22,False,94.0,long
Dante's Inferno: An Animated Epic,United States Japan South Korea,"Victor Cook, Mike Disa , Sang-Jin Kim, Shuko Murase, Jong-Sik Nam, Lee Seung-Gyu",Production I.G,Traditional,2010,2,9,False,88.0,standart
Daredevils of Sasun Սասնա ծռեր (Sasna Tsrer),Armenia,Arman Manaryan,,Traditional,2010,1,25,False,80.0,standart
Detective Conan: The Lost Ship in the Sky,Japan,Yasuichiro Yamamoto,TMS Entertainment,Traditional,2010,4,17,False,102.0,long
The Disappearance of Haruhi Suzumiya 涼宮ハルヒの消失 (Suzumiya Haruhi no Shōshitsu),Japan,"Tatsuya Ishihara , Yasuhiro Takemoto",Kyoto Animation,Traditional,2010,2,6,False,162.0,epic
Doraemon: Nobita's Great Battle of the Mermaid King ドラえもん のび太の人魚大海戦 (Doraemon Nobita no Ningyo Daikaisen),Japan,Kozo Kusuba,Vega Entertainment,Traditional,2010,3,6,False,99.0,long
Diary of a Wimpy Kid (2010 film),United States,Thor Freudenthal,20th Century Fox,Live-Action/animation,2010,3,19,False,92.0,long
Eden of the East – Paradise Lost 東のエデン (Higashi no Eden),Japan,Kenji Kamiyama,Production I.G,Traditional,2010,3,13,False,95.0,long
Elias and the Treasure of the Sea Elias og jakten på havets gull,Norway,Lise I. Osvoll,,CG animation,2010,12,10,True,77.0,standart
